capacity,conducted,recorded_E,recorded_N,recorded_S,recorder_W,date
361573,340132,17354,1042,1712,1134,2020/10/22
380049,310322,22948,1039,1739,962,2020/10/21
373533,279996,17814,913,1456,1148,2020/10/20
362121,260338,16365,820,993,626,2020/10/19
330370,306893,14704,1012,316,950,2020/10/18
327668,308416,13299,1031,1167,674,2020/10/17
328461,312178,12176,1299,1196,979,2020/10/16
323006,304315,16139,763,1351,727,2020/10/15
345135,295690,16132,1217,1429,946,2020/10/14
344426,264713,14310,863,1297,764,2020/10/13
344159,219074,11647,877,961,487,2020/10/12
309921,258955,10383,1066,956,467,2020/10/11
308630,279606,12628,902,1009,627,2020/10/10
306991,296559,10772,1080,1246,766,2020/10/9
313844,285015,14952,923,1027,638,2020/10/8
307635,254579,11528,828,1054,752,2020/10/7
306173,261336,12648,669,800,425,2020/10/6
313802,273100,10685,616,697,596,2020/10/5
302150,250348,21309,462,758,432,2020/10/4
304568,286802,10806,726,764,576,2020/10/3
305880,269820,4797,934,775,462,2020/10/2
310288,264979,5589,259,668,398,2020/10/1
323425,255915,5656,424,640,388,2020/9/30
296812,232212,5651,320,806,366,2020/9/29
303784,227038,3316,220,222,286,2020/9/28
290399,263526,4800,187,344,362,2020/9/27
281076,255488,4639,319,714,370,2020/9/26
284587,288701,5723,273,558,320,2020/9/25
281655,262109,5632,189,465,348,2020/9/24
277234,259221,5083,220,486,389,2020/9/23
267122,234815,4187,75,383,281,2020/9/22
270121,206782,3754,125,255,234,2020/9/21
257377,234786,3279,176,245,199,2020/9/20
255570,250954,3638,222,350,212,2020/9/19
255949,266308,3771,163,203,185,2020/9/18
253521,240202,2788,149,290,168,2020/9/17
252911,242273,3396,129,267,199,2020/9/16
242911,236827,2649,79,267,110,2020/9/15
242817,216526,2259,109,70,183,2020/9/14
231921,225380,2837,87,244,162,2020/9/13
232015,228748,3008,104,221,164,2020/9/12
234957,241650,3143,88,175,133,2020/9/11
235817,233125,2578,78,161,102,2020/9/10
253817,220626,2286,49,159,165,2020/9/9
243817,202809,2094,40,176,150,2020/9/8
248763,201965,2528,141,146,133,2020/9/7
236773,192892,2576,106,208,98,2020/9/6
231867,189054,1477,118,141,77,2020/9/5
231149,202893,1669,61,159,51,2020/9/4
231337,198603,1507,77,101,50,2020/9/3
248837,196734,1239,71,156,42,2020/9/2
248837,171339,1041,49,154,51,2020/9/1
249222,180368,1149,58,160,39,2020/8/31
227768,181038,1487,49,123,56,2020/8/30
227902,180033,891,89,88,40,2020/8/29
231034,188974,1106,85,51,34,2020/8/28
231059,194522,1350,69,68,35,2020/8/27
231059,206143,875,72,67,34,2020/8/26
228059,179602,1065,47,44,28,2020/8/25
227965,147940,758,10,66,19,2020/8/24
209793,165455,938,119,83,20,2020/8/23
199887,177279,1060,71,123,34,2020/8/22
210065,181878,908,20,71,34,2020/8/21
210079,174250,1035,51,77,19,2020/8/20
208079,181358,707,34,50,21,2020/8/19
203402,157194,975,41,49,24,2020/8/18
203308,146264,634,39,26,14,2020/8/17
204986,168144,952,27,43,18,2020/8/16
203227,180197,934,65,51,27,2020/8/15
204942,170441,1284,74,65,18,2020/8/14
207046,163470,1059,8,47,15,2020/8/13
210046,176489,925,29,47,8,2020/8/12
210046,157558,1035,48,52,13,2020/8/11
215952,152498,699,0,29,12,2020/8/10
215989,162990,988,0,48,26,2020/8/9
214227,160651,679,0,60,19,2020/8/8
216942,173213,796,15,43,17,2020/8/7
219631,174833,826,43,66,15,2020/8/6
217631,161111,804,10,64,14,2020/8/5
217631,150265,617,8,23,22,2020/8/4
217497,144999,856,0,18,24,2020/8/3
217313,145568,676,0,31,37,2020/8/2
215212,146011,722,0,18,21,2020/8/1
224057,164748,814,10,30,26,2020/7/31
220803,170027,812,8,17,9,2020/7/30
220803,157439,700,9,22,32,2020/7/29
220803,147818,547,9,4,21,2020/7/28
218709,89565,616,0,3,45,2020/7/27
217485,111801,721,0,4,22,2020/7/26
215702,139062,710,0,27,30,2020/7/25
209547,147292,688,15,20,45,2020/7/24
206426,141117,702,8,16,43,2020/7/23
206426,137234,519,9,10,22,2020/7/22
206426,132626,399,2,22,22,2020/7/21
206332,92518,535,0,7,15,2020/7/20
197729,114222,672,0,23,31,2020/7/19
196351,135779,796,0,21,10,2020/7/18
198606,164440,635,19,17,16,2020/7/17
203277,150975,597,16,11,18,2020/7/16
226270,137828,506,9,5,18,2020/7/15
224770,118186,372,2,3,21,2020/7/14
218655,85880,497,0,6,11,2020/7/13
216526,94700,615,0,19,16,2020/7/12
215141,126549,806,0,7,7,2020/7/11
227274,134030,480,4,18,10,2020/7/10
231823,137861,617,3,6,16,2020/7/9
226823,127389,606,4,7,13,2020/7/8
229823,106977,572,5,2,2,2020/7/7
227729,77469,331,0,4,8,2020/7/6
209733,92774,492,0,9,15,2020/7/5
208141,114274,579,0,11,34,2020/7/4
210274,139218,502,4,12,26,2020/7/3
212635,136186,523,7,5,41,2020/7/2
212059,123348,177,1,8,32,2020/7/1
212059,112164,196,3,10,26,2020/6/30
215775,75662,99,6,5,116,2020/6/29
212978,83157,142,1,8,25,2020/6/28
209166,100631,192,2,15,46,2020/6/27
211869,105971,175,4,17,65,2020/6/26
211681,108124,261,1,5,125,2020/6/25
211123,91135,107,2,9,47,2020/6/24
211139,73646,210,0,12,51,2020/6/23
213162,63026,178,1,14,71,2020/6/22
201218,60484,215,4,26,100,2020/6/21
201312,83467,324,0,26,25,2020/6/20
199356,90547,323,3,27,31,2020/6/19
198749,89613,281,1,11,48,2020/6/18
198749,86438,252,8,21,53,2020/6/17
198749,80862,252,2,15,65,2020/6/16
202467,71402,219,4,29,62,2020/6/15
200260,69529,292,7,25,39,2020/6/14
200354,98974,372,3,21,45,2020/6/13
188374,98375,392,16,27,77,2020/6/12
188844,101778,304,4,17,63,2020/6/11
187704,101033,63,13,12,38,2020/6/10
187704,93959,651,3,14,42,2020/6/9
184742,69999,92,6,18,42,2020/6/8
186455,86926,228,6,18,40,2020/6/7
186549,93154,422,14,21,42,2020/6/6
188912,101961,451,3,29,76,2020/6/5
179536,99484,431,33,49,35,2020/6/4
179307,101885,462,8,33,82,2020/6/3
179307,92299,444,4,53,67,2020/6/2
179213,70648,294,12,18,59,2020/6/1
166540,82243,320,7,18,82,2020/5/31
164634,96995,715,13,55,86,2020/5/30
165443,105459,560,17,39,102,2020/5/29
163255,101753,519,16,48,72,2020/5/28
161164,82670,609,26,55,97,2020/5/27
160164,77745,492,28,29,141,2020/5/26
153070,78385,494,39,55,106,2020/5/25
138853,59464,584,25,60,140,2020/5/24
133691,91841,979,41,72,185,2020/5/23
135421,91196,1083,23,113,138,2020/5/22
137612,105655,854,42,105,166,2020/5/21
134855,86634,824,18,96,110,2020/5/20
128867,86041,857,20,61,166,2020/5/19
126867,70074,816,16,57,101,2020/5/18
128822,81278,788,28,90,162,2020/5/17
117822,91360,1136,40,187,183,2020/5/16
128203,91342,1112,26,143,126,2020/5/15
127498,84693,1189,38,188,128,2020/5/14
125400,83182,1146,60,166,133,2020/5/13
116982,74593,1067,44,136,105,2020/5/12
109670,70332,891,30,141,124,2020/5/11
107356,76507,1007,41,181,223,2020/5/10
95106,77152,1349,56,156,118,2020/5/9
89170,76963,1694,38,225,152,2020/5/8
101321,77466,2133,50,215,87,2020/5/7
99921,74455,1611,53,272,95,2020/5/6
99454,66919,1842,45,171,145,2020/5/5
93248,72630,1485,69,169,195,2020/5/4
107108,68203,2019,78,170,174,2020/5/3
107024,63559,2228,66,273,183,2020/5/2
120979,74142,2501,87,301,160,2020/5/1
121715,83143,2484,73,319,183,2020/4/30
85865,65643,1403,55,313,117,2020/4/29
76665,45263,1989,34,200,232,2020/4/28
72700,31453,2264,66,197,203,2020/4/27
51762,31610,2152,82,273,178,2020/4/26
53392,29058,2826,104,354,299,2020/4/25
49362,28225,3004,106,288,243,2020/4/24
53367,28024,3084,142,371,234,2020/4/23
50621,23073,3020,116,366,274,2020/4/22
47773,22763,3087,30,222,304,2020/4/21
